format is (<name> <TYPE>, <frequency>)
('first ORDINAL', 1539)
('two CARDINAL', 1308)
('one CARDINAL', 1205)
('india GPE', 1113)
('english NORP', 949)
('london GPE', 941)
('french NORP', 925)
('france GPE', 726)
('ireland GPE', 611)
('three CARDINAL', 593)
('second ORDINAL', 535)
('dutch NORP', 535)
('english LANGUAGE', 531)
('christian NORP', 328)
('spain GPE', 322)
('four CARDINAL', 312)
('turkey GPE', 293)
('the year DATE', 282)
('holland GPE', 280)
('third ORDINAL', 275)
('years DATE', 273)
('five CARDINAL', 249)
('europe LOC', 248)
('britain GPE', 221)
('this day DATE', 207)
('irish NORP', 188)
('fourth ORDINAL', 154)
('six CARDINAL', 153)
('scotland GPE', 140)
('fifth ORDINAL', 132)
('england GPE', 129)
('indian NORP', 126)
('spanish NORP', 124)
('ten CARDINAL', 122)
('secondly ORDINAL', 118)
('esq ORG', 118)
('daily DATE', 117)
('half CARDINAL', 112)
('indians NORP', 110)
('dublin GPE', 107)
('africa LOC', 94)
('three years DATE', 91)
('germany GPE', 90)
('charles the PERSON', 90)
('john martin PERSON', 86)
('the house of commons ORG', 85)
('sixth ORDINAL', 85)
('cor ORG', 85)
('turks NORP', 83)
('italy GPE', 75)
('east-india GPE', 75)
('twelve CARDINAL', 73)
('seven CARDINAL', 73)
('hundred CARDINAL', 73)
('hundreds CARDINAL', 71)
('october DATE', 69)
('this year DATE', 67)
('yearly DATE', 64)
('latin NORP', 64)
('many years DATE', 63)
('eight CARDINAL', 63)
('china GPE', 63)
('two millions CARDINAL', 62)
('the day DATE', 61)
('paris GPE', 61)
('william PERSON', 60)
('elizabeth PERSON', 59)
('thomas PERSON', 58)
('italian NORP', 58)
('charles PERSON', 58)
('two years DATE', 57)
('september DATE', 57)
('america GPE', 56)
('seventh ORDINAL', 54)
('november DATE', 54)
('twenty CARDINAL', 53)
('portugal GPE', 52)
('eighth ORDINAL', 52)
('japan GPE', 51)
('african NORP', 51)
('nine CARDINAL', 50)
('james duke PERSON', 50)
('cornhil GPE', 48)
('german NORP', 47)
('august DATE', 47)
('those days DATE', 46)
('latin LOC', 45)
('thousands CARDINAL', 44)
('the years DATE', 44)
('seven years DATE', 44)
('british NORP', 44)
('annually DATE', 44)
('williams PERSON', 43)
('lincoln ORG', 43)
('european NORP', 41)
('december DATE', 40)
('annual DATE', 40)
('a year DATE', 40)
('persia GPE', 39)
('john williams PERSON', 39)
('a few years DATE', 39)
('francis tyton PERSON', 38)
('venice GPE', 37)
('newman PERSON', 36)
('henry PERSON', 36)
('martin PERSON', 35)
('five years DATE', 35)
('europeans NORP', 35)
('the th year DATE', 34)
('russia GPE', 34)
('millions CARDINAL', 34)
('taylor PERSON', 33)
('six months DATE', 33)
('richard davis PERSON', 33)
('fifty CARDINAL', 32)
('every year DATE', 31)
('one year DATE', 30)
('one half CARDINAL', 30)
('turkish NORP', 29)
('arthur PERSON', 29)
('ten thousand CARDINAL', 28)
('thirty years DATE', 27)
('shou GPE', 27)
('several years DATE', 27)
('colonies GPE', 27)
('late years DATE', 26)
('john seller PERSON', 26)
('a thousand CARDINAL', 26)
('three months DATE', 25)
('eighty CARDINAL', 25)
('a penny MONEY', 25)
('a million CARDINAL', 25)
('ralph smith PERSON', 24)
('norfolk ORG', 24)
('january DATE', 24)
('cambridge GPE', 24)
('blackwell-hall ORG', 24)
