,year,similar,publica ratio,religio ratio,medica ratio
0,1660,regiment_guards knife surrounded_besieged exhibited draw intent seize enforced enter_ports afterword lest speed directly defend village damnified hindrances indians injuries_affronts fetch flags notorious proceeding recruit college_admiralty baggage copy several_sentences spanish building injury instead siege save quite quarrel decree river_gambia declare queen_acheen guard caused_considerable forts compounded ports victuals conversation entering hurt begun waggoner landed shallops_lines space_years propriety continually enter protector boat magazine reside avoid conceive plate procured frustrate_company applications moors reason_demand monies finish_voyage pa especially encounter chests constrained_abandon fourth sustained exclusion_nations disturb forced pursuance hay warn durst thereabouts pretense vander seizing offer delay owner unjust shore forbidden fast planting pretending passing promised,0.14,0.09,0.01
1,1664,chap self several nation english low age dignities families interest show apparel example soon sort church things law magistrates persons excess hand fame times head heads rather examples peace warlike wear find true years rebellion whose ten reason seems service others bear increase pale whence government best poor glory annum third merit rules gods indutry trade_wealth foal royal mean drink want ill heathens form emperor estates ways proper never nobility worth allow rich observe house rome people labour nobility_gentry taken golden known esteem least fire whole live middle comes colour hall custom thing goods strumpets give interet spirit convenient lessrest power military amongst mother whose plain reason death poor wear give bear royal according several charged houses head third blazon_arms letter bearing ways golden used small bend fire number next attire gold self right work faith wise art manner ad pale law good glory estates black heads irelands general nature none manufacture soldiers kings family became est denotes hands credit greeks besides nation war makes rank city signify sea labour church spirit sort heaven born ordinary taken salter house less bare known gods rather seem especially appear cause service men age metal mean girdle silver lines example neither debaucheryoaths nature neither sense hand plain families age labour self third bearing nothing earth mean ancestors colours man annum left ad authors glory swearing next black light bend amongst merchant nations blood fesse darkness perfect air vice reward hands divers lines qualities attended person god taken spirit wear kind dignities homer poor court rather nobility saith dignity heads war colour metal general thing according nation merit knight poverty vicious bear death fire became things cloth heaven virtue greeks house salter high divine seem less garb church value true reports lose wine reason shame observe fathers years bars minds born showblack art given expenses rest law rich bloody war gave people bear arts proper bears popes experience religion garment men bearing ways duke things benefit countries practice econd body equal prince partitioned observe general loyalty letter thing perjury according hall quality number homer hand english regulating teeth harlots kings saith etates names former honour manner custom self profane divine love lose name rules worth nobility merchant receive government foal rebel plain profit peace ancient none ranks soldier book reward houses whether half esteem land service high red glory appear foreign gold seem city several drawn attempts power interet son stnation ten kings reason known interest nature ancestors several self signify persons foal men proper denotes live best humour hand thing lines form regulating less annum ill blazon_arms fame mean general gods better common third head labour houses vice poor neither peace whose never service nobility_gentry left chiefly heads salter metal fire example whether public military makes person glory wise gold law estates rather times soon art bear rank girdle sort letter hands fathers dignities none line whole heaven majesties crown small days esteem experience emperor bearing house charged ab ways seems actions black dignity sea rewarded true bars takendenoting besides romans places allow modes pales numbers earl receive education nothing natural battle man interest bare lords worn vigour letters generals good discovered thine higher subject colour lion gulls tongue victory argent effectual seem realm observing cutom darts form small makes met obliged signifies generous beginning named face act oaths catholic better world name wear rich obtained inful lusts drunken less book silks term pillars virtues argument epithets_given difficulty apt nay top making bear treasons play place new intolerable prays spirit ways military greater virtue vicious field mouth impediment represents solid holy_land debaucheries arm consists royal great_convenience follows humourfinite robert_digbey exprely deerves willing arrians external stuffs comfortably bloody_maacre whore_babylon erved antichristian excommunication jutifie tents bleed ormond_lj st_johns ships_war bore_bannow oleo crown_chancery chritian_prince managed_united carey virtute stat weeks cut_throats peace_safety mountains diention gerald_kildare popes_infallibility remembered ecured conditions thomas_cromwell pervaded banihed intereted_properity piritual thouands struck effeminates beards figures ober_pious poible eccleiatical proportionable trefoils ubjection county_ardmagh byrns immediately watery geraldines rule_govern mas gratuities concience_ache food trengthen stanley_stephen bore_donnegall spake profession idlers ap indies audley principalities_states humility rejection judged st_pals list loeth generality mints bright means_whorih profit_convenience regiter vicount diguie driving acceptable duke_ormonde orator henry_blancy savile_john tavern appearing imperial_crown blossoms bedford scene,0.10806916426512968,0.08645533141210375,0.02881844380403458
2,1666,lachrymae lombardy novigrad people_rude secures lies_open weakness formed father_death bacon orderly dignities carinthia enslaved attempt proportions depend magazines arises grisons recover_ancient legorn_florence bohemia divine ionian_sea demesne imperial_towns gates wallisland vorteland neapolitan timely euxine_mediterranean catholic_cantons prague genoan spires confederate swiss admired resort_hither impressions thirdly lantgraves hundreds hitherto renounce mints corsica candia polander prime_vizier whereon weymar bulgaria_lies vessels primitive straight bulwarks jagerendorf jointly ridge_hills pain_death bounded_south wall liguria_isle strong_navy agreeing punishments shaken midland inhabited mart unsettled powers_europe resorts genoans south_switzerland affronts north_hassia newhausell lunenburg became_possessed infidelity comply wallachia valley count_palatine field_officer john_albert heyduchs serenes disadvantage surrounded spinola hassia feuds mount_haemus saxon invaded_hungary,0.1,0.09,0.04
3,1672,accommodated accompanied sailed poiled led sooner inconvenience terror surprised presently solomons repent brother_dead spent drank lied covered pair followed desires unwilling desirous mitake wheel december comrade fruit counel band helped enquired touched charges_maintaining cardinal_mazarine treats security coures neighbour guided bless foreign_trade pardon sufficiently jose upplyed ill_luck undertake utmost souls warning borrowing visited silent mistake victuals teaching bravely minute occasioned bloody pull commending contemplation prevent enjoyment confident conceal sudden mis fihing_britih exact_description nort dry ubmit kindly worst parted maturity stand assembly respect caution cunning homewards complain barbarous deerves bleing young_women express reidence blessing least procure great_deal coach propounded behold lady arreted,0.08,0.09,0.04
4,1676,dover destroy convinced fraudulent_conveyance sore chest business aith chet_cloth east_indies affixed noise bravely beginnings choose presbyterians manufactured_cheap universal buying_selling thrice tun builds appearing enterprise sussex setting humbly quality pliable sells beat_fighting yielding worn transported ministers absolutely departure soft paage absent thousand clouds cornwall refued members_parliament industry witnesses takes sixteen governor_company maids breaking journey tells taken_notice high_treason vain hoping magazine services_court troubles legis propoitions mighty treble folly obliging observed sword spring spanish divide insolences lease_years directions intance quit predecessors resolves dean christ_church invent absolute sex hamborough_london instructions speedy grows furnished seeking hindered projected propoe husbandry character suit settlement height presently common_lawsums_money contitution original marquess cook moneys_borrowed sides referred voluntary behind popular pence affair christ_church weave sixteen fraudulent_conveyance horses morrow ide feoffment william pen sword combat aith dividend appearing affixed sweet carriage departure winter absent wind_mills tedious sells annexed eaily convinced willingly revoked perhaps customs lawfully projected kind james fools catalogue lot warwickshire write_copy business ometimes indicted however poor_country woman brat twelve_years session obnoxious ten_years producing_writings surveyed words_act hearers rest concern sound governor_company concerned attracts foret_deane gracious foret inventory years_purchase story rooms spanish understand mills_wind sum sister air sussex beat_fighting windsor choose pays approved dudly comparable worcester lead sin prefer banburytreasure wheel forest_deane promote save administer christ_church seems presently east_indies sleds rooms grandfather suit bishop remonstrance enrolled special choose discover independents impression affixed conscience universal godly words_act provision barbarous thrown defraud deep necessitated quickly minded papists cutting vat business jointure countrey_mans directly demonstrate destroying surveyed miracle showed governor_company moves hereford yarn spanish excluded revocation twelve_years confusion observed affirmed fifths affectionate invent pretences method winter willing scour_thicken undertake past space fires poibly fixing poland smith shires enquire hundred_weight mighty justices sixteen alone directions aimed improvements scour linnen affair projection morning difference owe bridg loves acre_land justify propose worn named hearers casesneighbour baletting_box morning ordered major minding westminster accident suffer_self drink heat pulled conceive represented pays oft leather necessities thrice leader prejudicial concience conveyances intent_defraud wind_mill balance_europe remonstrance home_salisbury repreented determine right_honourable provision pressed brother born_subjects hide urged foe_whether goodness blowing_cloth grants lordhip protect anwered construed judgement gift replied trangers born_aliens excludes conscience fifthly follows chosen engineers great_numbers wisdom cases suit contriving withdrawn debtor absolutely ets cooke_twines pattern approach opened degrees wheels year_owes concerned seen justify legs pit acquired past pretext face revoked igns engineers_ingredients free_holders innocence palace rage refused ore declaration gifts press given_evidence papers water_engines favours sort deerted morrowsides lot profession thousand daughter ending assignment administrator neighbours carriage cost counties_named sister deceased rise grow pays still reputation detroy cure accepted easy settle woods_timber working comparable destroyed hours business receiving enterprise policies ad governors james sums_money trong proved vain seemed least sending vast_quantities inventory cognizee departure obliged art advocate channel feoffment prosecution going tended neighbour perfectly coffee hamborough_london write_copy expose wetern fermentation cast effectually square height supper short corn_plenty proclaimed countrey_mans yes mark rest impious hindered stands palatinate afraid feeds sound merchant_trader sensible arrested obnoxious fat corporations possibly unexpected jointure speedy choose instructions twentieth malted legal beef gain thirty,0.12096774193548387,0.11895161290322581,0.020161290322580645
5,1677,spent englih_merchant fourths exporting gotten tin setting transport turn salt foreign_trades fact carried_france trangers manufacturers lodged unwrought supply tranportation lye merchant_staple grow pend whatever fifteen_days maintains furnish consumed vendible supplied river_midway measure wave ware_houses markets course bury etting usually irish certainly river pass multitude town elves native knows ship upplied carefully lead nations_competitors spend orts english_merchant latin kings_subjects night china treble selling irih broad acquainted enriching lace drapery_tynn cheaper lies spaniards lose conumed king_dominions shipped stockings looked halifax ad_experience south clothier tranportation_wool etate parts_world foreigners added abundance arising exportation_wool importation_foreign speak wet erve cor carried_staples wholly former_times poor_people kingdoms_interest lessenedvolumes advanced exports vent uffer trademen impossible mens intruments expend beg safety management esteem move raise advantageous vendible ore conume eaily vast enjoyed tore paper balance edition gem undertaking extraordinary bone supposed raised mouths gives fold laces aves produced twice englih_men spend etates letters quickly greatet cry however joint_cock breaking puts caves recovered aforeaid history woollen_cloaths amongst dominions almot indutry small degrees notwithstanding words undone thousand queen_elizabeth poibly expect trength enclosure sad magitrates famous conequently ones beyond_sea ordered deal james crime variety apparently preerved easily consider main zealand dicovered copper occasions vend greatest computed pleased eteemed citizens blessed industry allowedenglih_merchant fourths trangers broad selling raise buying spend spaniards holes product_manufacture vie englih_men adjacent brandy raiing_prices transported_foreign conequence spent cot copper carefully seamen wines along_south kingdoms_interest vast lat plantations italian possibly cheaper rye easily whatever markets china english_merchant imports indutry factors cent_profit sellers raised seas white salt coin purchae dearer pent corn_cattle upplied piece saw europe enrich_kingdom consumption prodigious added particulars wine lye usually shore bin putting uually town price_manufactures goods_returns unwrought maintains elsewhere arie utter deal irih river masters woollen_cloaths princes falling twice cast hazard variety statutes_wool walter french_dutch shipped conumed pain_forfeit tranportation hot costs people_live carried_strangers certainly conumetransport altogether privately conumed large_quantities halifax carried_france cor lead acceptable hence upplied former_times work_cheaper furnih upply hot strangers real fourths vended drapery_tynn ealing nations_competitors treble leat_thouand ort multiplicity_sellers purpoe carefully hardly town enriching transportation englih_merchant night wales shipped river consumption annually sorts seas thereabout native sellers cheaper packs lo return staples_appointed markets exceedingly foreign_parts buying_ealing tin supplied wet besides value_thouand erve improve rye kings_subjects ret exporting traders native_commodities ship lessened uually norfolk lies ariing spent king_dominions careful_diligent foreigners certainly buying growth drugs afford remain_abroad fair lodged wool_felles comes export merchant_shop pound withal tranporting multitude selling hen_cap river_midway working_wool pent draperyspend raise industry rectify hither easily vast greatet englih_men vent still paper conequently providence conidering alias_chatham englih_merchant kingdoms_interest fancy tendency consume nobility trength whatever containing bin poibly speak consequently horses invited computed greatest volumes golden assistance memory upwards move indutry learned lat beyond_sea freights vend consequence enjoyed vendible instead plague uffer saw raised copper gods bone famous probability vo fifteen_days applied careless elves please etling settled citizens woollen_cloaths cost ordered tostat coat uppoed pounds_sterling encloure produced french_dutch walter fact flanders_linen reputation decree getting grandeur multiplicity_buyers abundance james twice advanced gave breaking gem however destroy shipping deal small timber continually mitakefourths return markets treble acceptable furnih uually hot parts_world vended hence privately usually shipped river besides vie multiplicity_sellers multitude native englih_merchant drapery gotten unwrought drapery_tynn ret lessened goods_imported carried_france cheaper town large_quantities upplied ort enriching conumption king_dominions seas sellers annually hen_cap selling leat_thouand supplied pass buying carefully fair poor_people prodigious rye europe consumed work_cheaper halifax growth dover nations_competitors former_times leaned france_flanders sorts ready_money back holes etting quantity strangers spaniards thereabout arising improve lack afford lo imports wales consumption injuries transported_foreign lodged transport purchae informed english_merchant value_thouand certainly irih setting cot foreigners lies kingdoms_stock erve directed remain_abroad real eleven norfolk thousands,0.2235294117647059,0.07058823529411765,0.020168067226890758
6,1680,greater littleton opportunity article mean manufactures grants former total nations kept happened eat hither severe hereafter pretended ports stated annum happy regard named reciting confident straights free alliances prejudiced require satisfied depending costs_damages speak pray addrees assigns elective past island concerned danger_popery enable giving_money save petitioners acts incumbent endeavour pindar safe cave fully managing happen annexed hundred seem alliance instead material satisfy decayed rest used benefit indians fair liberty settled inter_alia brother plainly confess united_netherlands major charges number cases court_admiralty common_alliance poeion securing permit bill_pass neither offered poor abroad nevertheless obtain judge attempts raised belong aigns possession mention spoil expected,0.14,0.09,0.02
7,1681,finely gift marriages comes_hundred alleys simon express_mention births survey temporal_lords reaon_cacao fixed_feasts entombed makers proviion_enough pawaw chancel culture worth_oberving infant lincoln compoition fihermen poultney affairs_state clemency councellor georges twentieth_year oration differs_longitude pound_ten shrove_sunday southampton thorns caecilius earl_clarendon hot_arrow freight want_bread budge_row territories_isles henries sony heavily heavy excellent_fruits night_morn meaured arrow upturn_moon boiled_death navigable_rivers inviolably succeors_give hillings_pence task matters_importance fifty_foot marshal according_ability fool received_dangerous humphrey propriety dicouraged good_providence gather prevail vyner avenge hunter trodden buttocks wound_mortal confet barley noon_noon continent_america humane_affairs grows_naturally mary_le court_baron vvoolchurch therewithal germans province_carolina boroughs terling_acre claim janeway crook_back marble pomegranate walkers corner_st half_acre contiguous homage rainedfreely_quietly obtaining_title fear_thunder shoe enacting tract repasts fiherman howling defending hortet_min excellent_fruits portland_stone patowmeck tranplant reaon_cacao woods_fields dutch_swedes thunders possessions farringdon anelm cabins thereabout_laid undoubtedly expenses election williams edrick moon_night broad_street twelve_months village thing_heretofore bret brave_brick tiled longest_degrees otters_foxes thorn_back fancy min watching synod_held orderly odd fairs incurable thickness walter_tyrell keep_amity half_pence rights_privileges eutace poioned harold duke_courland mercenaries nigh_nigh baing_hall never_injure right_trusty payable longest_min bay_delaware extended doctors maimed_soldiers captivity vvardmote_inquet officer irih_potatoes presents_heirs advises southern_parts courage_valour wicked summers confet mountjoy morn_morn pleaing ere cries league amity moon_morn ashly wolves statue corporations sets_night green_grey reide taken_prioner checking religious_rites halves_quarters crown_kneeling sun_jamaica,0.12562814070351758,0.08542713567839195,0.020100502512562814
8,1682,purchae unprofitable carried_foreign purchase best scarcity abolutely_neceary absolutely_necessary eteemed germany prices wages returns purchaing spain prizes manufacturing conumption increaed sometimes thought_convenient measure ships_seamen prejudicial caes foreign_commodities foreign_countries selves amounted northern turkey_trade quantities stop inheritance indutry prodigal supply_want deserve raise increaing serve carried_exportation better_terms sorts ometimes cheaper employing act abundance uncertain staple_commodities enrich hoard estates exporting prodigality ell supposed quite_contrary remitted etates otherways purchasing late_years properly esteemed shopkeepers linens soon hinder_expense cheap good_foundation improving considerable orts import payment_debts neighbours natural designed useful buying_selling foreign_country generally livelihoods influence supply clipping quantity self advancing_coin working improvement raw_silk amongst abated course sort traders difficultiesenabled sort conequently transport pilfering linen goods_rise support consequently discharge heads conumed clipped_money preerve staple_commodities permitted advancing reckoned elsewhere goods_rye incomes rate_exchange particular_persons uual discover ues landed hence happens exceed raised purchasing advancing_coin owing stand species luxury upply_want silver_gold negroes stores silk_linen receive_crowns forcibly esteemed uses govern small divided denominations sum workmen duties conduce neighbouring_countries presumed tand double reduce custom trading_people deerve lye_dead quarter frugality resolutions supplied sometimes serve grown tranport vast barter respect proposed instead loing meaures gives improvement uppoed valuable possibly advance_proportionable wines_brandies ometimes abated druggs exported_imported besides penny degrees amount computed inheritance degree falling hinder_expense chiefly absolutely_necessarylate_years otherways carried_foreign cheap consumption unprofitable exporting eteemed spain caes careful employing enrich prodigal working purchae abolutely_neceary example increaing northern absolutely_necessary ships_seamen supply_want foreigners clipping advance_price orts rent foreign_countries temptation amounted purchase foreign_commodities private sorts increased occasions import wages payment_debts circulate ell course lend rates payments supply estates buying_selling foreign_country natural properly domestic annually laborious mint cheaper designed increaed scarcity manufacturing enable paying cases linens abundance engagements raw_silk uncertain temptations raise alter influence conidered purchasing best difficulties endanger markets pretences convenient good_foundation carrying_commerce sort occaions returns serve profit etates prejudicial prizes indutry debtors pernicious thought_convenient remitted rate_exchange purchaing silks happenaltering ometimes respect linen consumed owing advancing_coin supplied preserve conveniences elsewhere tranport gives measure esteemed detroy enabled discharge strict heads stores silk_linen conduce goods_rye wines raised possibly incomes exported_imported double west negroes large mutual species rein confuion education children artificial ounce_ounce decrease refused mortgage support quite_contrary depended gaining shilling trading_people barrels attempts demonstration total pay_back motion excepting duly valuable hamburgh custom hitherto raising consider upplyed approved doubled fail uses gain rates_exchange falling inconveniences great_numbers past good_husbandry particular_persons poibly preerve enriching shut sometimes narrow conditions selling prove_hinderance bonds_bills duke spending opposition esteem transported army discover ues poverty unequal remain assigned loans,0.2367758186397985,0.0654911838790932,0.012594458438287154
9,1683,eminent act concluded punishment fetch almot amongst epacius round betakes naked pick twice mall revenged colour limit tat oath word afford informed thoughts perpetual ended peaant treacherous cave paper resolved cor judge wines paion wie wait adding want fellow readiness baits omit neighbourhood cause loose land fast declaring town paris freedom receive length pleased voyage hereupon jut laden quality sale liable merchandise try seemed clear turn directions engagement notwithstanding acquainted paage gelding bench factious offer ooner pipe ill econd market persons occaion practise sign case face recommendation lest deal notable bags married rhenish conidering reaon fed willingly trouble hours contentcase gentlemen affront haman meet voyage project mere effect reolution means heap deny least rye besides paris places complement companies instructions mall amsterdam lie los greatest keeping ooner manual piece story ask econd ignorance monsr capacity sure odd hour guilty paper small dead hell lent concerned tory minutes design fidelity freedom eat passage tuns consent heavy jew practie undertood wood pardon peak concerns thanks ship occaion evident pendants language appear inquire deliver insomuch cloak encore recommendation loo fully tiers affair regard discourse moment side reward justice ends arrives thouand englih broke practise fear obligation ruin however aid reception humbly whore,0.07537688442211055,0.06030150753768844,0.010050251256281407
