,year,similar,publica ratio,religio ratio,medica ratio
0,1663,prince_william sake conented_intended core herein probably_effects believes mere capable rather_hinder please confeors applications eel gentlewoman_comes endeavours prize cleared meeting_needs clear condition_continued fair_words omit promied saturday_lat helpful pope_contribute foundation powerful_remedy manage_parts fury stock truth nevertheless_carried thought_knows follow lover_country preently protestant_religion satisfied ait_friends common_report duke_lauderdale foot profession engaged_life card bear_concerns doubted vardell_famous abandoned communicate_news hinder_former fear_accidents methinks_highly rome_admitted vigorously portugal_ambaador positively sought quit propound else ruvigny_failed acquaint perwaded contest successor still certainly_highly dipos cunningly_certainly intereed behind_friend betwixt_catholics ucceed apprehend_immediate conviction_induce successor_monsieur utmot queen able_secure purpose english_priest regard_word break lord_peterb fancy_brain deal impossible things_relate persuaded inclin_favour seem allowed_truth directions hundred_thouand body ait perfect,0.09,0.18,0.04
1,1664,caves word excess houses dignity cruel lay force woman number consume end annum church proud beer became nation nobility keep war justice realm known favour ways france_gains next bend practice wear rest letter homer give gain debauchery rome sort live christendom employed bearer clothes families spirit age attire makes humour base half affairs fall manufacture find arts revenue glory vanity attended thing authors ten ut described metal youth original lost neither rerum merit denotes encouragement motion girt reputation_merchants hand vice nature drunkards esteem kingdoms black profane according innocent sufferings saw nobility_gentry minds words bars ages want magistrates air denote diversmen neither dignity soldiers cause present observes ab bear houses vicious years bodies vice rest girt justice age find est innocent standing head church drunkenness interest bravery attire garb colours became reader whereof estates besides hand women examples esteemed nobility_gentry peace represented worn kings saith golden reproach gods metal end poor whose making gentleman emperor formal hands reason heathens want fit nation wine form imitate ill waved greatet war esteem lines consume used military black work left art courage order described bars according shame service plain william excess queen whole soon show never light divine nature appear dexter mighty nobility,0.11557788944723618,0.08040201005025126,0.035175879396984924
2,1666,criminal_civil assure crokey sold going open convenient fact delivered lords_committees complained recover assaulting wasted soon lye ipsum satisfaction praedicti itting field smith work ruined shore mayor_bailiffs damage enjoyed oblige hereafter future trespass ometimes giving martin arrest determined executed apparent refusing tenth quetion curia ita mature_deliberation belong entered inconveniences fully habeat_brave condemned portions received expressed merits britain ancestors january prosecution prison examining fore transported gratis exact thereunto india action undervalue decrees close indictment broken referred cheat sibi trading_east praedicta resides grandeur judged attend error december showing proved skewis former_times containing interet iue poor_man quam clerks double ue prion dismission parties petitioner,0.12,0.07,0.02
3,1669,contantinople ometimes evening gotten obliged opinion lawyer eel prove heaven thinking unreaonable troubled delay silk seal balance dealings fully art relation excellence propoed judges journey tay cutom wie amongt burden apparent seas remains follows next_morning mind laugh toyed leghorne parents unity gone rough thouand itting lat great_seal duly mitres obligation foxley conigned choice atisfaction company wrong acquainted barnaditon pretend dear month regard reaonable almighty lie arrival drawn clock plain altered ordered draw robert along cat propoe weighed endeavour unjut informed food exchequer judgment expect die narrative holy alteration tand accepted plea mistaken partly law_equity bet particulars wonder malice reference acquaint,0.07,0.08,0.01
4,1672,divinity_small large_twelves discoursed discouragements bradley amos righteous john_howe large_octavo maggot fowler thompson devon passenger_london octavo inches_diameter forgiveness christians_worst disappointments williams_hosier lately jar composed phil rob spheres nylon dolphin capt englished_price reign_king sound introduction right_honourable thomas_burrel minister physician_ordinary colossians bodden borders ound proverbs lying paraphrased_english morbus john_playford francis_smith sieur historical edward abel le written_french fellow_royal meeter romance_translated reynolds manifest francis rowland featly acts_pierce rendered_english francis_drake chemist physician baltic_seas exchange_alley temple_church loves exposition hidrographer twelves size_globes nature exposition_book countess pool annexed alexander surgeon assigny james monsieur fourth architect stephen brag latitude nath_crouch nerve latin holy_scripture cape_bone hill amadis reverend davies lane margaret,0.09,0.15,0.03
5,1676,eager necessitated victories bold lives_fortunes debates militia ceremonies sooner increaed train determine arise eminent treasure guilt entertained scottish permit fundamental ending forest_deane possibly accused bishops observations calling armies sacrifice provide remonstrance revenues master intention lords_gentlemen quit deserted removed added horse caused devoted vices jewels cares drawing majesties patriots prosperous camp change_government assistance defamed enterprise woods_timber confusion soon misery follow credulous piety benefits destructive imagined required reduced rude coronation degree levy ministers treat infection aimed supreme awe voted sword pretensions compared address setting defence battles fierce harangues luts eyes humble greedy deired false impious eloquence published common_wealth speculative colour impeached happenedanwered sister dover authors earl_strafford pretensions woods_timber liturgy aimed pleaded mighty january spoils attendants beginnings hoping communication confirm popular air methods leaders awe enterprise departure terrors loss exchequer brew speculative master ministers refused clothing_towns liberties divide convinced ooner bloody spanish complaints referred tend enjoyed trade_traffic avon motion monarchy something genius vain destroying projected short necessitated protection clouds lives_fortunes scheepens increased fraudulent_conveyance fitted modesty ending catalogue cornwall using provision forest committing projection hamborough_london wind_air bare continuance thousand abbot combat locked difficulties coats prudent sentence desires selling eminent mills_wind miseries favourers occasion words_act hard famed linnen privy channel creature bitter confuion complainedsister barbarous refused going bold manufactured_cheap pence requires impostures combat palatinate woods_timber copies pretensions justly retrained prosperous coasts quite members_company victories thousand nobles tun ministers easy imputed pleaded grow shore possibly protestant mieries confirmed revenues hamborough_london takes builds avon_navigable absolutely corporations fatally answers dover governor_company sends leaders arguments buying_selling upbraid deep citizens doubted dean understood worcester gift_goods promied noise suit wilt nine eat_dear primitive provision intance ending oppressed aault sooner posterity wheel entrusted imagined relieved spoils referred absolute treat spoiled concerns dealing destroyed storm protection read robe durst destroying july british soon space aimed perhaps teaching natural_fortifications bridg maintenance prepared,0.11409395973154363,0.12416107382550336,0.03355704697986577
6,1680,casualty pleaed nations provinces moderate ancestors names alliances charges easy trials title passing_bill burgesses men_war material retitution loes alteration important offered send atisfaction puruance grand_jury bills going secured natural_justice baronet_duly ships_goods charge_building depending thoughts drawn executors treasurer enter condemnation inconsiderate grant_allowance creature convenient satisfied william_pickering deceased opportunity confident factories affair days acted severe dated indenture defend patacoons safe july trial_william states proof perpetuate incident petitioners sterling happily supply still sit common_alliance give_money rules ministers assurance rate treaty_breda secondly violent assure observed bringing_bill admire satisfy plain judge alone hundred order_thereto something forts considerable tender point pat however examination_plot amount restoration condition_importancedepending require exclusion depart prosecution lie alliances otherways affair intend miseries severe president raising aforeaid probably court_admiralty humility fairly attempt however obtain number preerve paul_pindar pergens proof observe intimated hearing considered moderate occasions robert_clayton oxford letters_patents alone examination_plot popish_interest poor speak amsterdam side effectual costs ships_named haste puruance satisfy giving_money littleton loes petitioners purpoe stands abhorrence amterdam chief_justice accompanied fully commission attempted henry_bone poeion remember states popih papist intereed damage incident quiet months partners plain walls bone_esperanza nations lading great_deal mutual_agreement admonitory certain natural_justice atisfied charges deputies possible recommended objections casualty holland seem already moderation effect claimed necessity stated payment_debts,0.18592964824120603,0.09547738693467336,0.010050251256281407
7,1681,trick storms speaker preerved pleasant hearts understanding height common_law forcing breach feed factories forty_fifty coast fifteen giving guess amongt provide dish vote productions easily eaten ocean store_houses circuit agreed habitations durst eaie endeavour story laboured earl_suffolk broad nod prevent eaily prospect sitting sort renowned appropriated slight terrified dies jupiter holland islands lest perceive hudon_river custody atisfaction injuries belong prickles ignorance declare eighteen cruel expecting perhaps ease volume injurious horses hoped eat_wet tend preens carthagena carnation ending traffic kiss weak calicoes_wrought suffer troubles shells piece hence frequent shipping secure lame ort hudson_river ooner altogether short challenge detruction ufficient pass carce artprevented mistaken wisdom understand presents hoped fail worse talking forbear reply gaffer confess farther rational notwithtanding oblige ufficient rate please deign prefixed tedious seamen suffer quetion example vote debt honest canton limited floor major deserved desired reasonable art_fool written departed banished material content reaonable belonged intents depth_design bought countrey concluded pain provide satisfaction question produced admittance strength valued crave angels bound business committee seem showed concern instead dividing crime surely crew raie compel advice majeties general_council owners lavvs adventurer grace conideration quick latter double ued revenged accordingly purchase requesting managed sheet atisfaction bone importation arrive bar pleased penny killing estate,0.10552763819095477,0.08040201005025126,0.01507537688442211
8,1685,english_french held excessive larger natural lizard queens tood christianity belong pericii trust arabians arch coasts putting glad simples senega lord_archbishop keeping negroes gilt transported seems profession monwale gratitude stick thread exercise offices isthmus memorable expose setting bishoprics divides passed hunting sicilians streaks periaeci eyeing notorious possess exceed parallel sight_isle bound_indies admiral opinions mules neck avoid landed higher middlesex rings divine_providence elements admirable masters ued mass meina esteem danes fifth borneo macao succours neighbouring distant sell born terra_firm causes mere sails method superstitious seven_eight die gates reward tune numbers shells erved travellers travel save throughout constant habits warning san lose merchantscows spiritual falling fourteen beat concern stone prevailed substance weighed barks least charges thirteenth lye passion thought_convenient way_living spent observe spoke bet eighty work prayers conducted vice_president mark eat_wet suffered purposes interrupted close afraid gates air_healthful clothes herbs camp consisting cassia held consent daily dark fell burnt killed eleven_clock preently quarrel explained merchandise freh build fingers calls persuaded stones sick houes elves bays poken idolatrous good_hope blow discoveries lime cotton foul require mandate boil heads canes easy forrets james princes_isle sailed magdalen_college heat beasts designed california blew king_charles pieces consideration bishoprics serves fresh pitts lost wives border possess apparel gunabouts discoveries columbus antilles rhodes age renown crete palm double_isle maltha market eaterne cottons therewith holds new_england counties forc confession balm joins healthful causes requir bringing stands coniderable possessed upper respective furnish continue gun infidels peak lima seems conquered egg paradise madera fleet grand_viier seven_guns bones export pretending tunis shells cap cruel difference_betwixt parts_world recreations coasts hundred_thousand fixed congo excessive_heats tents tree memoirs grown map_world names interrupted terra_firm olive_trees woolen length_breadth cape_word mother pretty_big fresh_water discovery reaches real prioner california modern gusts cephalonia royal_highness quarter wou englih_miles consist resemble ionian perfection emersion_first cairo streaks explained guiney contain rio transportation value,0.06711409395973154,0.09060402684563758,0.020134228187919462
9,1688,considerable permission bengal_merchant falsehood july sort trouble crown_heads fight murders got lot serve shown alive magistrates pegu cape reception estates degree expressions number coniderable bringing whereto detain merits thirty john annexed_proofs hopes strong shore excue groundless preident divers erve complainant attempts impossible member arriv madrass phaulkon publicly english_nation companies_servants sufficient hew commission swear confuion rebels poitively days gentleman ur intended presume province english_interest queer treaties pardon desire past policy protestants principles use faults imply countenance consent par secure animadverter bears pray error resolution cloak brief explain retrieve knew interest malicious barely ending black mine violation instead countryman ingenious miniters notwithstanding,0.11,0.13,0.01
10,1689,maliciouly quo_warranto propoitions nearer search whereupon dead cast pleae trut condemned natures oever redress curtana_arrival eeing hated readiness resolution royal_authority devoted piety king_expends aids parish doctors reduce jurisdiction upply debated neceity banishment fitting ubmit refused neighbouring cardinal_bouillon atisfaction criminals captains summoned dismal majesties memory commands inhabitant aitance humble exact_copy depotick_power title total art enslaving credible_perons merit remontrance milk annum enible hears deal hou punishment proofs betray emoluments vice miseries obedience promise caued quite undertaking ingle eccleiaticks possess proverb intrument victuals providence deplorable propositions print gosfright friendly united_netherlands perpetrated tables deciions cutoms bottom rational allow slave retain_privilege cordially foreign_plantations concience neceitieswickedness monsieur reach miserable poibly humble house_commons darkness persecution banishment immene_sums devoted alienated palace tands derive_dominions immense_sums circumtances contiguous natural_born scheme claims spent unlawful ordered speak merits incapable forcing choosing elves neglected assurance conscience substantial mine commands extended oever wanted choose consist miseries imposed imprionments commit tood dly promise marriages conent garrisons marks edward total regaining opinions frame finally popish torn discharge title recourse peter credible_perons persons_societies union member voted majesties bear_burden lead spiritual exempt cat doctor happens ometimes folly views descent succeeded supply summoned assertion debated victuals midst deed characters proviions fality expedient chrit unworthy easily satisfied fearing spend,0.10552763819095477,0.10050251256281408,0.01507537688442211
11,1690,observe ages statute_adieu addressers conideration custom_house confessed civil_law letting traitorous cok diolved oaths confess satisfaction noise fell pat precedents calais close stood conscience chester plymouth deliver sagacity foretold privity expressly neck_bone sooner child mis mi resolution books deign contant cognisance eeing colonel hew different move quite_contrary judicial desired presbyterians_quakers hate ministers urged dissenting_subjects whatsoever bleed cried reolved cat meetings hang earth sufficiently sort rooted performed conceive convenient totally quite substance stranger justices doors choose measure fined already december longer although self_murder industry special ensue face rep issued lastly mayor bear fat poible consideration loving_subjects facts infer doctrine turns debates complaint,0.08,0.09,0.03
12,1691,alleging parcel_number privy occaions flowers needles deign_chemical incline extremely heavy favourable garrion treasures fabric juridiction vice occaionally paying_first humble_submission requiite trictly detain qualities provide denizens heavenly probable leiure providence close prince_wales hair_stuffs demonstrate clothiers conclude producing english_silks weighing dicoures expoed_unjut human breath concience cruple insomuch admiration offended chiefest concurring natural_philoophy oever whitehall thirteen tradesmen writ following_order swarm observing author arraign western ensuing clothes consumption_silk increase_consumption discover perwaded denomination petitioners_humility strange preume adhesive lives_liberties several_sorts proper_applications agents_factors pardon sundry fond hew impoible admonitory impossible maller difference scene wonderfully throw conequently pres entitle charters_declared mark vegetable shell flight diligence ventured vigorous_loadtone meatmoderately whitest reaons leicester fishery observes politic reliev height careful caution human conit eay west_indies members_parliament hole coppers mine uncommon perform dun seed meat box roman magnet aur dyers visceral compound hilly relief park lanceston dealings furnished electrical parks yarn copious brick wherewith first_carat pole_loadtone expos named trictly affirms animals paralytic afe proverb honestly distant usage animal_spirits ingle writes mooth quickly creatures vivid infallible vitriols operating mariners stuff leather deign_chemical inomuch procur finger chance chalybeate abstract mace_nutmegs nutmegs several_sorts charcoal instead_making consume decent entrance throw la dust tand reckoned cylindrical_vial sheep barratines women pardon term garrion space deirous fain arguestinctures faster mark claimed egg insomuch saxons figures chalybeate seizures thanks_acknowledgments exactly spend minds nicety heaven whitehall acknowledged conits warwickshire boughs heptarchy sloe richest conceit puruance head_ach preumed animal_spirits smooth brazil la coat hunger consumption_silk parishes clothes omething woeful lastly_county conviction propoe monuments pardon aerted charters_intended stir portuguese elsewhere fishery proceeded airbrushing cur generation easy practis mind paages spirits years_ago close repair yarn guard_watch brisk lives_liberties fitter eeming expression mordant marks necessitated glas denizens cautious lie elder foresaid dresses painful obedience coachmen ends bras assur nearest dicoures verses titles right_thereunto ioh hop certain_number deriv compliance flight obedience_majesties growing_hot traded aerting_right,0.12416107382550336,0.1040268456375839,0.040268456375838924
